,initial,postproc_data
52,"11.03 день
2-я подкормка озимых, ПУ ""Юг"" - 1606/6182
(в т.ч Амазон-1048/3682
Пневмоход-558/2500)

Отд11- 486/1130 (амазон 356/1000; пневмоход 130/130) 

Отд 12- 778/2216( амазон 350/952; пневмоход 428/1264) 

Отд 16- 0/1765( амазон 0/659; пневмоход 0/1106) 

Отд 17- 342/1071( амазон 342/1071)","11.03 день
вторая подкормка озимых, пу юг день 1606 от начала 6182
 в т.ч амазон день 1048 от начала 3682
пневмоход день 558 от начала 2500 

отд11 день 486 от начала 1130 амазон день 356 от начала 1000 пневмоход день 130 от начала 130 

отделение 12 день 778 от начала 2216 амазон день 350 от начала 952 пневмоход день 428 от начала 1264 

отделение 16 день 0 от начала 1765 амазон день 0 от начала 659 пневмоход день 0 от начала 1106 

отделение 17 день 342 от начала 1071 амазон день 342 от начала 1071 "
53,"Пахота под Кук зерно
ПоПу 6/1096
Отд 12 6/549
Выравн под сою
ПоПу 45/1106
Отд 11 45/503","пахота под кукурузы зерно
по пу день 6 от начала 1096
отделение 12 день 6 от начала 549
выравнивание под сою
по пу день 45 от начала 1106
отделение 11 день 45 от начала 503"
54,"12.03 день
2-я подкормка озимых, ПУ ""Юг"" - 129/6700
(в т.ч Амазон- 129/4200
Пневмоход-0/2500)

Отд 17- 129/1589( амазон 129/1589)
Вымочки ПоПу 56 га","12.03 день
вторая подкормка озимых, пу юг день 129 от начала 6700
 в т.ч амазон день 129 от начала 4200
пневмоход день 0 от начала 2500 

отделение 17 день 129 от начала 1589 амазон день 129 от начала 1589 
вымочки по пу 56 "
55,"Пахота под сою
ПоПу 14/1664
Отд 11 14/897
Выравн под сою
ПоПу 164/1270
Отд 11 95/598
Отд 12 35/154
Отд 17 34/117
Предп культ под сах/св
ПоПу 119/119
Отд 12 39/39
Отд 16 80/80","пахота под сою
по пу день 14 от начала 1664
отделение 11 день 14 от начала 897
выравнивание под сою
по пу день 164 от начала 1270
отделение 11 день 95 от начала 598
отделение 12 день 35 от начала 154
отделение 17 день 34 от начала 117
предпосевная культура под сахарная свекла
по пу день 119 от начала 119
отделение 12 день 39 от начала 39
отделение 16 день 80 от начала 80"
56,"Выравн под сою
ПоПу 118/1388
Отд 11 51/649
Отд 12 67/221
Выравн под кук зерно
ПоПу 25/906
Отд 12 25/437
Предп культ под сах св
ПоПу 265/384
Отд 11 47/47
Отд 12 65/104
Отд 16 103/183
Отд 17 50/50
Сев сах свеклы
ПоПу 107/107
Отд 12 29/29
Отд 16 78/78","выравнивание под сою
по пу день 118 от начала 1388
отделение 11 день 51 от начала 649
отделение 12 день 67 от начала 221
выравнивание под кукурузы зерно
по пу день 25 от начала 906
отделение 12 день 25 от начала 437
предпосевная культура под сахарная свекла
по пу день 265 от начала 384
отделение 11 день 47 от начала 47
отделение 12 день 65 от начала 104
отделение 16 день 103 от начала 183
отделение 17 день 50 от начала 50
посев сахарная свеклы
по пу день 107 от начала 107
отделение 12 день 29 от начала 29
отделение 16 день 78 от начала 78"
57,"Рассвет
Сев сах. Свеклы 886/10224/91%
Культ. Сах. Свёкла 551/10793/96%
2-подкормка оз. Пшеницы32231/100%
Герб. Обработка оз. Пшеницы 285/928/3%
Пред.Культ. Подсол.32/32
Сев подсол. 10/10","рассвет
посев сахарная свеклы день 886 от начала 10224 91 
культура. сахарная свёкла день 551 от начала 10793 96 
2 подкормка озимая пшеницыдень 32231 от начала 100 
герб. обработка озимая пшеницы день 285 от начала 928 3 
пред.культ. подсол.день 32 от начала 32
посев подсол. день 10 от начала 10"
58,"Выравн под сою
ПоПу 53/1441
Отд 11 23/672
Отд 12 30/251
Выравн под кук силос
ПоПу 6/871
Отд 11 6/401
Предп культ под сах св
ПоПу 22/406
Отд 11 20/67
Отд 12 2/106
Сев сах св
ПоПу 15/122
Отд 11 5/5
Отд 16 10/88","выравнивание под сою
по пу день 53 от начала 1441
отделение 11 день 23 от начала 672
отделение 12 день 30 от начала 251
выравнивание под кукурузы силос
по пу день 6 от начала 871
отделение 11 день 6 от начала 401
предпосевная культура под сахарная свекла
по пу день 22 от начала 406
отделение 11 день 20 от начала 67
отделение 12 день 2 от начала 106
посев сахарная свекла
по пу день 15 от начала 122
отделение 11 день 5 от начала 5
отделение 16 день 10 от начала 88"
59,"Выравн под куклы зерно
ПоПу 54/960
Отд 11 24/166
Отд 12 30/467
Выравн под кук силос
ПоПу 6/877
Отд 11 6/407
Предп культ под сах св
ПоПу 247/653
Отд 11 27/94
Отд 12 101/207
Отд 16 64/247
Отд 17 55/105
Сев сах св
ПоПу 100/222
Отд 11 12/17
Отд 12 16/45
Отд 16 62/150
Отд 17 10/10","выравнивание под куклы зерно
по пу день 54 от начала 960
отделение 11 день 24 от начала 166
отделение 12 день 30 от начала 467
выравнивание под кукурузы силос
по пу день 6 от начала 877
отделение 11 день 6 от начала 407
предпосевная культура под сахарная свекла
по пу день 247 от начала 653
отделение 11 день 27 от начала 94
отделение 12 день 101 от начала 207
отделение 16 день 64 от начала 247
отделение 17 день 55 от начала 105
посев сахарная свекла
по пу день 100 от начала 222
отделение 11 день 12 от начала 17
отделение 12 день 16 от начала 45
отделение 16 день 62 от начала 150
отделение 17 день 10 от начала 10"
60,"Восход
Посев кукурузы
День-86/107га, 10%
Предпосевная культ
День-177/396га, 37%
2-я подкорм оз пш
День-739/1431га65%
СЗР по оз пш
День-136/272га12%
СЗР по оз ячм
День-71/71га22%
Довсходовое боронование подсолнечника
День-184/289га55%","восход
посев кукурузы
день день 86 от начала 107га, 10 
предпосевная культура
день день 177 от начала 396га, 37 
вторая подкорм озимая пшеница
день день 739 от начала 1431га65 
срадство защиты растений по озимая пшеница
день день 136 от начала 272га12 
срадство защиты растений по озимая ячмень
день день 71 от начала 71га22 
довсходовое боронование подсолнечника
день день 184 от начала 289га55 "
61,"Выравн под кук зерно
ПоПу 82/1042
Отд 12 82/549
Выравн под кук силос
ПоПу 30/907
Отд 11 30/437
Предп культ под сах св
ПоПу 531/1184
Отд 11 80/174
Отд 12 260/467
Отд 16 101/348
Отд 17 90/195
Сев сах св
ПоПу 357/579
Отд 11 80/97
Отд 12 85/130
Отд 16 81/231
Отд 17 111/121","выравнивание под кукурузы зерно
по пу день 82 от начала 1042
отделение 12 день 82 от начала 549
выравнивание под кукурузы силос
по пу день 30 от начала 907
отделение 11 день 30 от начала 437
предпосевная культура под сахарная свекла
по пу день 531 от начала 1184
отделение 11 день 80 от начала 174
отделение 12 день 260 от начала 467
отделение 16 день 101 от начала 348
отделение 17 день 90 от начала 195
посев сахарная свекла
по пу день 357 от начала 579
отделение 11 день 80 от начала 97
отделение 12 день 85 от начала 130
отделение 16 день 81 от начала 231
отделение 17 день 111 от начала 121"
62,"Выравн под кук силос
ПоПу 25/932
Отд 11 25/462
Предп культ под сах св
ПоПу 452/1636
Отд 11 78/252
Отд 12 143/610
Отд 16 121/469 5га вымочки
Отд 17 110/305
Сев сах св
ПоПу 403/982
Отд 11 73/170
Отд 12 139/269
Отд 16 65/296
Отд 17 126/247","выравнивание под кукурузы силос
по пу день 25 от начала 932
отделение 11 день 25 от начала 462
предпосевная культура под сахарная свекла
по пу день 452 от начала 1636
отделение 11 день 78 от начала 252
отделение 12 день 143 от начала 610
отделение 16 день 121 от начала 469 5га вымочки
отделение 17 день 110 от начала 305
посев сахарная свекла
по пу день 403 от начала 982
отделение 11 день 73 от начала 170
отделение 12 день 139 от начала 269
отделение 16 день 65 от начала 296
отделение 17 день 126 от начала 247"
63,"Предп культ под сах св
ПоПу 211/1847
Отд 11 81/333
Отд 17 130/435
Сев сах св
ПоПу 268/1250
Отд 11 100/270
Отд 12 36/305
Отд 17 132/379","предпосевная культура под сахарная свекла
по пу день 211 от начала 1847
отделение 11 день 81 от начала 333
отделение 17 день 130 от начала 435
посев сахарная свекла
по пу день 268 от начала 1250
отделение 11 день 100 от начала 270
отделение 12 день 36 от начала 305
отделение 17 день 132 от начала 379"
64,"Вырав под Кук зерно
ПоПу 51/1093
Отд 11 51/217
Предп культ под сах св
ПоПу 288/2135
Отд 11 78/411
Отд 12 87/697
Отд 17 123/558
Сев сах св
ПоПу 398/1648
Отд 11 89/359
Отд 12 98/403
Отд 16 84/380
Отд 17 127/506
Внесен КАС под оз пш
Отд 16 63/63","выравнивание под кукурузы зерно
по пу день 51 от начала 1093
отделение 11 день 51 от начала 217
предпосевная культура под сахарная свекла
по пу день 288 от начала 2135
отделение 11 день 78 от начала 411
отделение 12 день 87 от начала 697
отделение 17 день 123 от начала 558
посев сахарная свекла
по пу день 398 от начала 1648
отделение 11 день 89 от начала 359
отделение 12 день 98 от начала 403
отделение 16 день 84 от начала 380
отделение 17 день 127 от начала 506
внесен кас под озимая пшеница
отделение 16 день 63 от начала 63"
65,"Вырав под сою
ПоПу 16/1457
Отд 11 16/688
Предп культ под сах св
ПоПу 152/2287
Отд 11 72/483
Отд 12 50/747
Отд 17 30/588
Сев сах св
ПоПу 284/1932
Отд 11 42/401
Отд 12 123/526
Отд 16 89/469 5га вымочки
Отд 17 30/536","выравнивание под сою
по пу день 16 от начала 1457
отделение 11 день 16 от начала 688
предпосевная культура под сахарная свекла
по пу день 152 от начала 2287
отделение 11 день 72 от начала 483
отделение 12 день 50 от начала 747
отделение 17 день 30 от начала 588
посев сахарная свекла
по пу день 284 от начала 1932
отделение 11 день 42 от начала 401
отделение 12 день 123 от начала 526
отделение 16 день 89 от начала 469 5га вымочки
отделение 17 день 30 от начала 536"
66,"Подкормка Кас-32 по оз.пшенице ПУ""Юг""- 99/162
Отд 16-99/162","подкормка кас 32 по оз.пшенице пу юг день 99 от начала 162
отделение 16 день 99 от начала 162"
67,"30.03.25г Мир.
Предпосевная культивация под подсолнечник 50/97/609 - 14%
Сев подсолнечника 17/47/659 - 6%
2-я подкормка озимой пшеницы 371/5118/166 - 97%
На данный момент осадки в 2х районах до 3мм","30.03.25г мир.
предпосевная культивация под подсолнечник день 50 от начала 97 609 14 
посев подсолнечника день 17 от начала 47 659 6 
вторая подкормка озимой пшеницы день 371 от начала 5118 166 97 
на данный момент осадки в 2х районах до 3мм"
68,"АО Кропоткинское
30.03.2024
2 подкормка озимой пшеницы 504/7758
Сев сах.свеклы 241/1806 87% (7ед)
Осталось 335га
Выравнивание зяби под кукурузу 70/2874
Предпосевная культивация под подсолнечник 70/70","ао кропоткинское
30.03.2024
2 подкормка озимой пшеницы день 504 от начала 7758
посев сах.свеклы день 241 от начала 1806 87 7ед 
осталось 335га
выравнивание зяби под кукурузу день 70 от начала 2874
предпосевная культивация под подсолнечник день 70 от начала 70"
69,"27.07
Внесение мин удобрений под сах свёклу 2025 г ПУ Юг- 454/1715
Отд 11-102/209
Отд 12-175/593
Отд 17-177/260","27.07
внесение минеральные удобрений под сахарная свёклу 2025 г пу юг день 454 от начала 1715
отделение 11 день 102 от начала 209
отделение 12 день 175 от начала 593
отделение 17 день 177 от начала 260"
70,"Пахота под сах св
По Пу 50/379
Отд 12 36/240
Отд 16 14/79

Чизел под оз ячмень
По Пу 60/588
Отд 11 60/190

2-е диск под сах св
По Пу 130/1393
Отд 17 130/130

Диск кук силос
По Пу 207/857
Отд 11 66/199
Отд 12 141/289 

Диск оз пшеницы 
По Пу 57/8743
Отд 17 57/1999

Выкаш отц форм под/г
Отд 12 2/24

Прикат под оз ячмень
По Пу 60/458
Отд 11 60/60","пахота под сахарная свекла
по пу день 50 от начала 379
отделение 12 день 36 от начала 240
отделение 16 день 14 от начала 79

чизлование под озимая ячмень
по пу день 60 от начала 588
отделение 11 день 60 от начала 190

второе дискование под сахарная свекла
по пу день 130 от начала 1393
отделение 17 день 130 от начала 130

дискование кукурузы силос
по пу день 207 от начала 857
отделение 11 день 66 от начала 199
отделение 12 день 141 от начала 289 

дискование озимая пшеницы 
по пу день 57 от начала 8743
отделение 17 день 57 от начала 1999

выкашивание отцовские травы формирование подготовка грунта
отделение 12 день 2 от начала 24

прикат под озимая ячмень
по пу день 60 от начала 458
отделение 11 день 60 от начала 60"
71,"ПУ «ЮГ» 2.03

Выравнивание зяби под сах св
По ПУ 105/2527
Отделение 11 30/674
Отделение 17 75/588

Выравнивание зяби под кук/зерно 
По ПУ 40/571
Отделение 12 40/412

Выравнивание зяби по кук/силос
По ПУ 62/232
Отделение 11 23/23
Отделение 17 39/39

Выравнивание зяби под сою 
По ПУ 72/354
Отделение 16 72/289

Сев овса 
По ПУ 5/5
Отделение 11 5/5

Прокатывание посевов овса 
По ПУ 5/5
Отделение 5/5

1-я Затравка мыш грызунов по озимым кол. ПУ""Юг"" -100/8804, ,12 человек

Отд 16-100/2194","пу юг 2.03

выравнивание зяби под сахарная свекла
по пу день 105 от начала 2527
отделение 11 день 30 от начала 674
отделение 17 день 75 от начала 588

выравнивание зяби под кукурузное зерно 
по пу день 40 от начала 571
отделение 12 день 40 от начала 412

выравнивание зяби по кукурузный силос
по пу день 62 от начала 232
отделение 11 день 23 от начала 23
отделение 17 день 39 от начала 39

выравнивание зяби под сою 
по пу день 72 от начала 354
отделение 16 день 72 от начала 289

посев овса 
по пу день 5 от начала 5
отделение 11 день 5 от начала 5

прокатывание посевов овса 
по пу день 5 от начала 5
отделение день 5 от начала 5

1 я затравка мыш грызунов по озимым кол. пу юг день 100 от начала 8804, ,12 человек

отделение 16 день 100 от начала 2194"
72,"Восход
Сев кук-121/228га
 22%
2-я подкормка оз пш-2200га, 100%
СЗР оз пш-182/454га, 21%
СЗР оз яч-97/168га
53%
Довсходовое боронование подсолнечника
175/464га, 89%","восход
посев кук день 121 от начала 228га
 22 
вторая подкормка озимая пш 2200га, 100 
срадство защиты растений озимая пш день 182 от начала 454га, 21 
срадство защиты растений озимая яч день 97 от начала 168га
53 
довсходовое боронование подсолнечника
день 175 от начала 464га, 89 "
73,"Вырав под сою
ПоПу 24/1481
Отд 11 24/712
Предп культ под сах св
ПоПу 369/2656
Отд 11 156/639
Отд 12 48/795
Отд 17 163/751
Сев сах св
ПоПу 355/2287
Отд 11 80/481
Отд 12 133/659
Отд 17 142/678","выравнивание под сою
по пу день 24 от начала 1481
отделение 11 день 24 от начала 712
предпосевная культура под сахарная свекла
по пу день 369 от начала 2656
отделение 11 день 156 от начала 639
отделение 12 день 48 от начала 795
отделение 17 день 163 от начала 751
посев сахарная свекла
по пу день 355 от начала 2287
отделение 11 день 80 от начала 481
отделение 12 день 133 от начала 659
отделение 17 день 142 от начала 678"
74,"22.03 Внесение гербицидов по оз.рапсу ПУ""Юг""- 320/474
Отд 11-95/174
Отд 12-150/150
Отд 16-75/150","22.03 внесение гербицидов по оз.рапсу пу юг день 320 от начала 474
отделение 11 день 95 от начала 174
отделение 12 день 150 от начала 150
отделение 16 день 75 от начала 150"
75,"Подкормка Кас-32 по оз.пшенице ПУ""Юг""- 400/562
Отд 12-241/241
Отд 16-159/321","подкормка кас 32 по оз.пшенице пу юг день 400 от начала 562
отделение 12 день 241 от начала 241
отделение 16 день 159 от начала 321"
76,"Выравн под сою
По Пу 16/1497
Отд 11 16/728
Предп культ под сах св
ПоПу 50/2706
Отд 11 50/689
Сев сах св
ПоПу 91/2378
Отд 11 21/502
Отд 12 45/704
Отд 17 25/703","выравнивание под сою
по пу день 16 от начала 1497
отделение 11 день 16 от начала 728
предпосевная культура под сахарная свекла
по пу день 50 от начала 2706
отделение 11 день 50 от начала 689
посев сахарная свекла
по пу день 91 от начала 2378
отделение 11 день 21 от начала 502
отделение 12 день 45 от начала 704
отделение 17 день 25 от начала 703"
77,"23.03 Внесение гербицидов по оз.рапсу ПУ""Юг""- 71/545
Отд 11-71/245","23.03 внесение гербицидов по оз.рапсу пу юг день 71 от начала 545
отделение 11 день 71 от начала 245"
78,"Выравн зяби под сою
ПоПу 18/1515
Отд 11 18/746
Предп культ под сах св
ПоПу 175//2881
Отд 11 45/734
Отд 17 130/881
Сев сах св
ПоПу 333/2711
Отд 11 113/615
Отд 12 91/795
Отд 17 129/832
Предп культ под подсо
Отд 16 90/90","выравнивание зяби под сою
по пу день 18 от начала 1515
отделение 11 день 18 от начала 746
предпосевная культура под сахарная свекла
по пу 175 2881
отделение 11 день 45 от начала 734
отделение 17 день 130 от начала 881
посев сахарная свекла
по пу день 333 от начала 2711
отделение 11 день 113 от начала 615
отделение 12 день 91 от начала 795
отделение 17 день 129 от начала 832
предпосевная культура под подсо
отделение 16 день 90 от начала 90"
79,"24.03 Внесение гербицидов по оз.рапсу ПУ""Юг""- 445/990
Отд 11-138/383
Отд 12-110/260
Отд 16-97/247
Отд 17-100/100","24.03 внесение гербицидов по оз.рапсу пу юг день 445 от начала 990
отделение 11 день 138 от начала 383
отделение 12 день 110 от начала 260
отделение 16 день 97 от начала 247
отделение 17 день 100 от начала 100"
80,"Уборка свеклы 27.10.день
Отд10-45/216
По ПУ 45/1569
Вал 1259680/6660630
Урожайность 279,9/308,3
По ПУ 1259680/41630600
На завод 1811630/6430580
По ПУ 1811630/41400550
Положено в кагат 399400
Вввезено с кагата 951340
Остаток 230060
Оз-9,04/12,58
Дигестия-14,50/15,05","уборка свеклы 27.10.день
отд10 день 45 от начала 216
по пу день 45 от начала 1569
валовый день 1259680 от начала 6660630
урожайность 279,день 9 от начала 308,3
по пу день 1259680 от начала 41630600
на завод день 1811630 от начала 6430580
по пу день 1811630 от начала 41400550
положено в кагат 399400
вввезено с кагата 951340
остаток 230060
оз 9,день 04 от начала 12,58
дигестия 14,день 50 от начала 15,05"
81,"Пахота под сах св
По Пу 77/518
Отд 12 46/298
Отд 16 21/143
Отд 17 10/17

Чизел под оз ячмень 
По Пу 22/640
Отд 11 22/242

Чизел под оз зел корм
Отд 11 40/40

Диск оз пшеницы
По Пу 28/8872
Отд 17 28/2097

2-е диск под сах св
По Пу 189/1763
Отд 11 60/209
Отд 12 122/540
Отд 17 7/172

Диск кук силос
По Пу 6/904
Отд 11 6/229

Прик под оз ячмень
По Пу 40/498
Отд 11 40/100

Уборка сои (семенной)
Отд 11 65/65
Вал 58720
Урож 9","пахота под сахарная свекла
по пу день 77 от начала 518
отделение 12 день 46 от начала 298
отделение 16 день 21 от начала 143
отделение 17 день 10 от начала 17

чизлование под озимая ячмень 
по пу день 22 от начала 640
отделение 11 день 22 от начала 242

чизлование под озимая зел корм
отделение 11 день 40 от начала 40

дискование озимая пшеницы
по пу день 28 от начала 8872
отделение 17 день 28 от начала 2097

второе дискование под сахарная свекла
по пу день 189 от начала 1763
отделение 11 день 60 от начала 209
отделение 12 день 122 от начала 540
отделение 17 день 7 от начала 172

дискование кукурузы силос
по пу день 6 от начала 904
отделение 11 день 6 от начала 229

прикат под озимая ячмень
по пу день 40 от начала 498
отделение 11 день 40 от начала 100

уборка сои семенной 
отделение 11 день 65 от начала 65
валовый 58720
урожайность 9"
82,"Пахота под сах св
По Пу 88/329
Отд 11 23/60
Отд 12 34/204
Отд 16 31/65

Пахота под мн тр
По Пу 10/438
Отд 17 10/80

Чизел под оз ячмень
По Пу 71/528
Отд 11 71/130

2-е диск под сах св
По Пу 80/1263
Отд 12 80/314

2-е диск под оз ячмень
По Пу 97/819
Отд 17 97/179

Диск кук силос
По Пу 43/650
Отд 11 33/133
Отд 12 10/148

Выкаш отц форм под/г
Отд 12 10/22

Уборка сах св
Отд 12 16/16
Вал 473920
Урож 296,2
Диг - 19,19
Оз - 5,33","пахота под сахарная свекла
по пу день 88 от начала 329
отделение 11 день 23 от начала 60
отделение 12 день 34 от начала 204
отделение 16 день 31 от начала 65

пахота под многолетние травы
по пу день 10 от начала 438
отделение 17 день 10 от начала 80

чизлование под озимая ячмень
по пу день 71 от начала 528
отделение 11 день 71 от начала 130

второе дискование под сахарная свекла
по пу день 80 от начала 1263
отделение 12 день 80 от начала 314

второе дискование под озимая ячмень
по пу день 97 от начала 819
отделение 17 день 97 от начала 179

дискование кукурузы силос
по пу день 43 от начала 650
отделение 11 день 33 от начала 133
отделение 12 день 10 от начала 148

выкашивание отцовские травы формирование подготовка грунта
отделение 12 день 10 от начала 22

уборка сахарная свекла
отделение 12 день 16 от начала 16
валовый 473920
урожайность 296,2
дигестия 19,19
озимая 5,33"
83,"Восход
Посев кук-24/252га
24%
Предпосевная культ
Под кук-94/490га46%
СЗРоз пш-103/557га
25%
Подкормка оз рапс-
152га , 100%, подкормка овса-97га, 50%
Довсходовое боронование подсолнечника-524
га, 100%.","восход
посев кук день 24 от начала 252га
24 
предпосевная культура
под кук день 94 от начала 490га46 
срез роз пш день 103 от начала 557га
25 
подкормка озимая рапс 
152га , 100 , подкормка овса 97га, 50 
довсходовое боронование подсолнечника 524
га, 100 ."
84,"ТСК
Выравнивание зяби под сою 25 га/ с нарастающим 765 га ( 13%) Остаток 5332 га
Выравнивание зяби под кукурузу 131га (3%) Остаток 4486 га
Осадки 1мм","тск
выравнивание зяби под сою 25 с нарастающим 765 13 остаток 5332 
выравнивание зяби под кукурузу 131га 3 остаток 4486 
осадки 1мм"
85,"20.11 Мир
Пахота зяби под сою 100 га день, 1109 га от начала, 97%, 30 га остаток.
Работало 4 агрегата.
Выравнивание зяби под подсолнечник 47 га день, 141 га от начала, 29 %, остаток 565 га. Работал 1 агрегат

Осадки:
Бригада 1 Воронежская - 6 мм","20.11 мир
пахота зяби под сою 100 день, 1109 от начала, 97 , 30 остаток.
работало 4 агрегата.
выравнивание зяби под подсолнечник 47 день, 141 от начала, 29 , остаток 565 . работал 1 агрегат

осадки 
бригада 1 воронежская 6 мм"
86,"АО Кропоткинское
26.03.25
2 подкормка озимой пшеницы - 862/5519
Предпосевная культивация под сах.свеклу - 274/896
Сев сах.свеклы - 276/666 (31%) 7ед.
Осталось 1475га
Выравнивание зяби под кукурузу - 295/2348","ао кропоткинское
26.03.25
2 подкормка озимой пшеницы день 862 от начала 5519
предпосевная культивация под сахарную свеклу день 274 от начала 896
посев сах.свеклы день 276 от начала 666 31 7ед.
осталось 1475га
выравнивание зяби под кукурузу день 295 от начала 2348"
87,"Восход
Посев подсолнечника
День-149га
Всего-351га,67%
Химпрополка рапса
152га, 100%
Первая культивация
Зябис день-180га
Всего-1430га, 76,2%.","восход
посев подсолнечника
день 149га
всего 351га,67 
химпрополка рапса
152га, 100 
первая культивация
зябис день 180га
всего 1430га, 76,2 ."
88,"Восход
Сев подсолнечника
День-145га, всего-496га,95%
2-я подкормка оз
Пш-218га, 10%.
1-я культивация зяби день-196га,
Всего-1626га, 86%.","восход
посев подсолнечника
день 145га, всего 496га,95 
вторая подкормка озимая
пш 218га, 10 .
1 я культивация зяби день 196га,
всего 1626га, 86 ."
89,"27.03.25 Мир.
Выравнивание зяби под сою 53/1153/20 - 98%
Сплошная культивация под сою 50/140/447 - 24%
Предпосевная культивация под сахарную свеклу 85/702/246 - 74%
Сев сахарной свеклы 135/655/293 - 69%
2-я подкормка озимой пшеницы 1047/2205/3079 - 42%

На севе работало 5 ед","27.03.25 мир.
выравнивание зяби под сою день 53 от начала 1153 20 98 
сплошная культивация под сою день 50 от начала 140 447 24 
предпосевная культивация под сахарную свеклу день 85 от начала 702 246 74 
посев сахарной свеклы день 135 от начала 655 293 69 
вторая подкормка озимой пшеницы день 1047 от начала 2205 3079 42 

на север работало 5 ед"
90,"27.03.25г.
СП Коломейцево

предпосевная культивация  
 -под сахарную свеклу: 
   День 19га
  от начала 314га(100%)
  -под подсолнечник
    день 20га
    от начала 20га(10%)

Сев сахарной свеклы: 
День 30га
От начала 265га(84%)

 Внесение минеральных удобрений по озимой пшенице,2 след: 
день 139га
от начала 1015га(100%)

Сплошная культивация под сою:
  день 51га 
  от начала 145га (71%)","27.03.25г.
сп коломейцево

предпосевная культивация 
 под сахарную свеклу 
 день 19га
 от начала 314га 100 
 под подсолнечник
 день 20га
 от начала 20га 10 

посев сахарной свеклы 
день 30га
от начала 265га 84 

 внесение минеральных удобрений по озимой пшенице,2 след 
день 139га
от начала 1015га 100 

сплошная культивация под сою 
 день 51га 
 от начала 145га 71 "
91,"АО Кропоткинское
27.03.25
2 подкормка озимой пшеницы - 834/6353
Предпосевная культивация под сах.свеклу - 306/1202
Сев сах.свеклы - 278/944 (44%) 7ед.
Осталось 1197га
Выравнивание зяби под кукурузу - 295/2643","ао кропоткинское
27.03.25
2 подкормка озимой пшеницы день 834 от начала 6353
предпосевная культивация под сахарную свеклу день 306 от начала 1202
посев сах.свеклы день 278 от начала 944 44 7ед.
осталось 1197га
выравнивание зяби под кукурузу день 295 от начала 2643"
92,"Рассвет
Сев сах. Свеклы 1139/8218/73%
Культ. Сах. Свёкла 1225/9228/82%
2-подкормка оз. Пшеницы1898/30547/95%","рассвет
посев сахарная свеклы день 1139 от начала 8218 73 
культура. сахарная свёкла день 1225 от начала 9228 82 
2 подкормка озимая пшеницыдень 1898 от начала 30547 95 "
93,"Восход
Посев подсолнечника
День-28
Всего-524га, 100%","восход
посев подсолнечника
день 28
всего 524га, 100 "
94,"Колхоз Прогресс: Химпрополка оз.пшеницы за день 185 га , всего 185 га (13%), остаток 1212 га","колхоз прогресс химпрополка оз.пшеницы за день 185 , всего 185 13 , остаток 1212 "
95,"28.03.25 Мир.
Предпосевная культивация под сахарную свеклу 178/880/68
Сев сахарной свеклы 150/805/143
2-я подкормка озимой пшеницы 995/3200/2084
На севе работало 5 ед.","28.03.25 мир.
предпосевная культивация под сахарную свеклу день 178 от начала 880 68
посев сахарной свеклы день 150 от начала 805 143
вторая подкормка озимой пшеницы день 995 от начала 3200 2084
на север работало 5 ед."
96,"28.03.25г.
СП Коломейцево

предпосевная культивация  
  -под подсолнечник
    день 40га
    от начала 60га(29%)

Сев сахарной свеклы: 
День 30га
От начала 295га(94%)

сев подсолнечника 
  день 25га
  от начала 25га(12%)

Сплошная культивация под сою:
  день 55га 
  от начала 200га (80%)","28.03.25г.
сп коломейцево

предпосевная культивация 
 под подсолнечник
 день 40га
 от начала 60га 29 

посев сахарной свеклы 
день 30га
от начала 295га 94 

посев подсолнечника 
 день 25га
 от начала 25га 12 

сплошная культивация под сою 
 день 55га 
 от начала 200га 80 "
97,"АО Кропоткинское
28.03.25
2 подкормка озимой пшеницы - 622/6975
Предпосевная культивация под сах.свеклу - 426/1628
Сев сах.свеклы - 285/1229 (57%) 7ед.
Осталось 912га
Выравнивание зяби под кукурузу - 161/2804","ао кропоткинское
28.03.25
2 подкормка озимой пшеницы день 622 от начала 6975
предпосевная культивация под сахарную свеклу день 426 от начала 1628
посев сах.свеклы день 285 от начала 1229 57 7ед.
осталось 912га
выравнивание зяби под кукурузу день 161 от начала 2804"
98,"Рассвет
Сев сах. Свеклы 1200/9359/83%
Культ. Сах. Свёкла 1014/10241/91%
2-подкормка оз. Пшеницы1753/31924/99%
Герб. Обработка оз. Пшеницы 643/643/2%
Герб. Почвен. Сах. Свёкла 100/100га","рассвет
посев сахарная свеклы день 1200 от начала 9359 83 
культура. сахарная свёкла день 1014 от начала 10241 91 
2 подкормка озимая пшеницыдень 1753 от начала 31924 99 
герб. обработка озимая пшеницы день 643 от начала 643 2 
герб. почвен. сахарная свёкла день 100 от начала 100га"
99,"Восход
Предпосевная культивация под
Кук-219га, 21%
Посев кук-21га, 2%
2-я подкормка оз пш день-474га, всего-692,31,5%
1-я сзр по оз пш
136га, 6%
Предпосевное внесение  под
Посев кук ам селитра-114га
,86%. До всходовое
Боронование подсолн-105га, 20%","восход
предпосевная культивация под
кук 219га, 21 
посев кук 21га, 2 
вторая подкормка озимая пшеница день 474га, всего 692,31,5 
1 я срадство защиты растений по озимая пшеница
136га, 6 
предпосевное внесение под
посев кукурузы ам селитра 114га
,86 . до всходовое
боронование подсолн 105га, 20 "
